#TYPE System.Management.Automation.PSCustomObject,,,,,
"Date","Time","Total","InUse","Free","PctUsed"
"9/6/2017","3:35:00 AM","3000","1436","1564","48"
"9/6/2017","3:40:00 AM","3000","1335","1665","45"
"9/6/2017","3:45:00 AM","3000","1589","1411","53"
"9/6/2017","3:50:00 AM","3000","1308","1692","44"
"9/6/2017","3:55:00 AM","3000","2319","681","77"
"9/6/2017","4:00:00 AM","3000","1303","1697","43"
"9/6/2017","4:05:00 AM","3000","1203","1797","40"
"9/6/2017","4:10:00 AM","3000","1400","1600","47"
"9/6/2017","4:15:00 AM","3000","2581","419","86"
"9/6/2017","4:20:00 AM","3000","2302","698","77"
"9/6/2017","4:25:00 AM","3000","2131","869","71"
"9/6/2017","4:30:00 AM","3000","2416","584","81"
"9/6/2017","4:35:00 AM","3000","2625","375","88"
"9/6/2017","4:40:00 AM","3000","2272","728","76"
"9/6/2017","4:45:00 AM","3000","2461","539","82"
"9/6/2017","4:50:00 AM","3000","2443","557","81"
"9/6/2017","4:55:00 AM","3000","1013","1987","34"
"9/6/2017","5:00:00 AM","3000","2470","530","82"
"9/6/2017","5:05:00 AM","3000","563","2437","19"
"9/6/2017","5:10:00 AM","3000","2052","948","68"
"9/6/2017","5:15:00 AM","3000","2562","438","85"
"9/6/2017","5:20:00 AM","3000","2401","599","80"
"9/6/2017","5:25:00 AM","3000","1633","1367","54"
"9/6/2017","5:30:00 AM","3000","1979","1021","66"
"9/6/2017","5:35:00 AM","3000","1747","1253","58"
"9/6/2017","5:40:00 AM","3000","2148","852","72"
"9/6/2017","5:45:00 AM","3000","2474","526","82"
"9/6/2017","5:50:00 AM","3000","2286","714","76"
"9/6/2017","5:55:00 AM","3000","1650","1350","55"
"9/6/2017","6:00:00 AM","3000","2482","518","83"
"9/6/2017","6:05:00 AM","3000","1655","1345","55"
"9/6/2017","6:10:00 AM","3000","1596","1404","53"
"9/6/2017","6:15:00 AM","3000","2429","571","81"
"9/6/2017","6:20:00 AM","3000","950","2050","32"
"9/6/2017","6:25:00 AM","3000","1029","1971","34"
"9/6/2017","6:30:00 AM","3000","1981","1019","66"
"9/6/2017","6:35:00 AM","3000","1623","1377","54"
"9/6/2017","6:40:00 AM","3000","1968","1032","66"
"9/6/2017","6:45:00 AM","3000","2525","475","84"
"9/6/2017","6:50:00 AM","3000","976","2024","33"
"9/6/2017","6:55:00 AM","3000","1591","1409","53"
"9/6/2017","7:00:00 AM","3000","1611","1389","54"
"9/6/2017","7:05:00 AM","3000","1871","1129","62"
"9/6/2017","7:10:00 AM","3000","2252","748","75"
"9/6/2017","7:15:00 AM","3000","2484","516","83"
"9/6/2017","7:20:00 AM","3000","2116","884","71"
"9/6/2017","7:25:00 AM","3000","912","2088","30"
"9/6/2017","7:30:00 AM","3000","1661","1339","55"
"9/6/2017","7:35:00 AM","3000","842","2158","28"
"9/6/2017","7:40:00 AM","3000","1125","1875","38"
"9/6/2017","7:45:00 AM","3000","1084","1916","36"
"9/6/2017","7:50:00 AM","3000","1731","1269","58"
"9/6/2017","7:55:00 AM","3000","1162","1838","39"
"9/6/2017","8:00:00 AM","3000","1759","1241","59"
"9/6/2017","8:05:00 AM","3000","905","2095","30"
"9/6/2017","8:10:00 AM","3000","1318","1682","44"
"9/6/2017","8:15:00 AM","3000","2510","490","84"
"9/6/2017","8:20:00 AM","3000","696","2304","23"
"9/6/2017","8:25:00 AM","3000","1856","1144","62"
"9/6/2017","8:30:00 AM","3000","1076","1924","36"
"9/6/2017","8:35:00 AM","3000","760","2240","25"
"9/6/2017","8:40:00 AM","3000","860","2140","29"
"9/6/2017","8:45:00 AM","3000","2032","968","68"
"9/6/2017","8:50:00 AM","3000","673","2327","22"
"9/6/2017","8:55:00 AM","3000","1134","1866","38"
"9/6/2017","9:00:00 AM","3000","1995","1005","67"
"9/6/2017","9:05:00 AM","3000","1315","1685","44"
"9/6/2017","9:10:00 AM","3000","1184","1816","39"
"9/6/2017","9:15:00 AM","3000","1202","1798","40"
"9/6/2017","9:20:00 AM","3000","1752","1248","58"
"9/6/2017","9:25:00 AM","3000","1115","1885","37"
"9/6/2017","9:30:00 AM","3000","1003","1997","33"
"9/6/2017","9:35:00 AM","3000","2532","468","84"
"9/6/2017","9:40:00 AM","3000","688","2312","23"
"9/6/2017","9:45:00 AM","3000","1162","1838","39"
"9/6/2017","9:50:00 AM","3000","1845","1155","62"
"9/6/2017","9:55:00 AM","3000","2420","580","81"
"9/6/2017","10:00:00 AM","3000","1599","1401","53"
"9/6/2017","10:05:00 AM","3000","1735","1265","58"
"9/6/2017","10:10:00 AM","3000","2312","688","77"
"9/6/2017","10:15:00 AM","3000","2238","762","75"
"9/6/2017","10:20:00 AM","3000","1322","1678","44"
"9/6/2017","10:25:00 AM","3000","935","2065","31"
"9/6/2017","10:30:00 AM","3000","875","2125","29"
"9/6/2017","10:35:00 AM","3000","2435","565","81"
"9/6/2017","10:40:00 AM","3000","2080","920","69"
"9/6/2017","10:45:00 AM","3000","2256","744","75"
"9/6/2017","10:50:00 AM","3000","1315","1685","44"
"9/6/2017","10:55:00 AM","3000","2680","320","89"
"9/6/2017","11:00:00 AM","3000","1727","1273","58"
"9/6/2017","11:05:00 AM","3000","1771","1229","59"
"9/6/2017","11:10:00 AM","3000","1652","1348","55"
"9/6/2017","11:15:00 AM","3000","1136","1864","38"
"9/6/2017","11:20:00 AM","3000","702","2298","23"
"9/6/2017","11:25:00 AM","3000","502","2498","17"
"9/6/2017","11:30:00 AM","3000","2423","577","81"
"9/6/2017","11:35:00 AM","3000","2241","759","75"
"9/6/2017","11:40:00 AM","3000","1084","1916","36"
"9/6/2017","11:45:00 AM","3000","2422","578","81"
"9/6/2017","11:50:00 AM","3000","735","2265","25"
"9/6/2017","11:55:00 AM","3000","719","2281","24"
"9/6/2017","12:00:00 PM","3000","1142","1858","38"
"9/6/2017","12:05:00 PM","3000","1964","1036","65"
"9/6/2017","12:10:00 PM","3000","837","2163","28"
"9/6/2017","12:15:00 PM","3000","544","2456","18"
"9/6/2017","12:20:00 PM","3000","932","2068","31"
"9/6/2017","12:25:00 PM","3000","907","2093","30"
"9/6/2017","12:30:00 PM","3000","2453","547","82"
"9/6/2017","12:35:00 PM","3000","2124","876","71"
"9/6/2017","12:40:00 PM","3000","864","2136","29"
"9/6/2017","12:45:00 PM","3000","1599","1401","53"
"9/6/2017","12:50:00 PM","3000","1190","1810","40"
"9/6/2017","12:55:00 PM","3000","2436","564","81"
"9/6/2017","1:00:00 PM","3000","1753","1247","58"
"9/6/2017","1:05:00 PM","3000","1083","1917","36"
"9/6/2017","1:10:00 PM","3000","1706","1294","57"
"9/6/2017","1:15:00 PM","3000","1610","1390","54"
"9/6/2017","1:20:00 PM","3000","950","2050","32"
"9/6/2017","1:25:00 PM","3000","1429","1571","48"
"9/6/2017","1:30:00 PM","3000","1454","1546","48"
"9/6/2017","1:35:00 PM","3000","2122","878","71"
"9/6/2017","1:40:00 PM","3000","1631","1369","54"
"9/6/2017","1:45:00 PM","3000","931","2069","31"
"9/6/2017","1:50:00 PM","3000","1044","1956","35"
"9/6/2017","1:55:00 PM","3000","1812","1188","60"
"9/6/2017","2:00:00 PM","3000","2182","818","73"
"9/6/2017","2:05:00 PM","3000","2000","1000","67"
"9/6/2017","2:10:00 PM","3000","2581","419","86"
"9/6/2017","2:15:00 PM","3000","775","2225","26"
"9/6/2017","2:20:00 PM","3000","1275","1725","43"
"9/6/2017","2:25:00 PM","3000","1368","1632","46"
"9/6/2017","2:30:00 PM","3000","2475","525","83"
"9/6/2017","2:35:00 PM","3000","2553","447","85"
"9/6/2017","2:40:00 PM","3000","1522","1478","51"
"9/6/2017","2:45:00 PM","3000","1453","1547","48"
"9/6/2017","2:50:00 PM","3000","1622","1378","54"
"9/6/2017","2:55:00 PM","3000","1590","1410","53"
"9/6/2017","3:00:00 PM","3000","1189","1811","40"
"9/6/2017","3:05:00 PM","3000","2696","304","90"
"9/6/2017","3:10:00 PM","3000","1507","1493","50"
"9/6/2017","3:15:00 PM","3000","1061","1939","35"
"9/6/2017","3:20:00 PM","3000","2168","832","72"
"9/6/2017","3:25:00 PM","3000","976","2024","33"
"9/6/2017","3:30:00 PM","3000","2614","386","87"
"9/6/2017","3:35:00 PM","3000","2133","867","71"
"9/6/2017","3:40:00 PM","3000","2512","488","84"
"9/6/2017","3:45:00 PM","3000","1580","1420","53"
"9/6/2017","3:50:00 PM","3000","663","2337","22"
"9/6/2017","3:55:00 PM","3000","1238","1762","41"
"9/6/2017","4:00:00 PM","3000","2195","805","73"
"9/6/2017","4:05:00 PM","3000","2644","356","88"
"9/6/2017","4:10:00 PM","3000","1668","1332","56"
"9/6/2017","4:15:00 PM","3000","1337","1663","45"
"9/6/2017","4:20:00 PM","3000","1650","1350","55"
"9/6/2017","4:25:00 PM","3000","708","2292","24"
"9/6/2017","4:30:00 PM","3000","1955","1045","65"
"9/6/2017","4:35:00 PM","3000","634","2366","21"
"9/6/2017","4:40:00 PM","3000","601","2399","20"
"9/6/2017","4:45:00 PM","3000","2085","915","70"
"9/6/2017","4:50:00 PM","3000","2047","953","68"
"9/6/2017","4:55:00 PM","3000","2213","787","74"
"9/6/2017","5:00:00 PM","3000","1319","1681","44"
"9/6/2017","5:05:00 PM","3000","2403","597","80"
"9/6/2017","5:10:00 PM","3000","1124","1876","37"
"9/6/2017","5:15:00 PM","3000","1082","1918","36"
"9/6/2017","5:20:00 PM","3000","2360","640","79"
"9/6/2017","5:25:00 PM","3000","750","2250","25"
"9/6/2017","5:30:00 PM","3000","1071","1929","36"
"9/6/2017","5:35:00 PM","3000","640","2360","21"
"9/6/2017","5:40:00 PM","3000","1704","1296","57"
"9/6/2017","5:45:00 PM","3000","1232","1768","41"
"9/6/2017","5:50:00 PM","3000","2112","888","70"
"9/6/2017","5:55:00 PM","3000","1237","1763","41"
"9/6/2017","6:00:00 PM","3000","555","2445","19"
"9/6/2017","6:05:00 PM","3000","1026","1974","34"
"9/6/2017","6:10:00 PM","3000","2241","759","75"
"9/6/2017","6:15:00 PM","3000","2181","819","73"
"9/6/2017","6:20:00 PM","3000","662","2338","22"
"9/6/2017","6:25:00 PM","3000","2134","866","71"
"9/6/2017","6:30:00 PM","3000","976","2024","33"
"9/6/2017","6:35:00 PM","3000","651","2349","22"
"9/6/2017","6:40:00 PM","3000","1122","1878","37"
"9/6/2017","6:45:00 PM","3000","2104","896","70"
"9/6/2017","6:50:00 PM","3000","1895","1105","63"
"9/6/2017","6:55:00 PM","3000","2009","991","67"
"9/6/2017","7:00:00 PM","3000","1870","1130","62"
"9/6/2017","7:05:00 PM","3000","669","2331","22"
"9/6/2017","7:10:00 PM","3000","1136","1864","38"
"9/6/2017","7:15:00 PM","3000","1200","1800","40"
"9/6/2017","7:20:00 PM","3000","560","2440","19"
"9/6/2017","7:25:00 PM","3000","2685","315","90"
"9/6/2017","7:30:00 PM","3000","964","2036","32"
"9/6/2017","7:35:00 PM","3000","2670","330","89"
"9/6/2017","7:40:00 PM","3000","2536","464","85"
"9/6/2017","7:45:00 PM","3000","2263","737","75"
"9/6/2017","7:50:00 PM","3000","518","2482","17"
"9/6/2017","7:55:00 PM","3000","928","2072","31"
"9/6/2017","8:00:00 PM","3000","1470","1530","49"
"9/6/2017","8:05:00 PM","3000","1835","1165","61"
"9/6/2017","8:10:00 PM","3000","1635","1365","55"
"9/6/2017","8:15:00 PM","3000","919","2081","31"
"9/6/2017","8:20:00 PM","3000","1800","1200","60"
"9/6/2017","8:25:00 PM","3000","1104","1896","37"
"9/6/2017","8:30:00 PM","3000","2411","589","80"
"9/6/2017","8:35:00 PM","3000","2114","886","70"
"9/6/2017","8:40:00 PM","3000","2206","794","74"
"9/6/2017","8:45:00 PM","3000","1111","1889","37"
"9/6/2017","8:50:00 PM","3000","2350","650","78"
"9/6/2017","8:55:00 PM","3000","1993","1007","66"
"9/6/2017","9:00:00 PM","3000","2682","318","89"
"9/6/2017","9:05:00 PM","3000","1387","1613","46"
"9/6/2017","9:10:00 PM","3000","1570","1430","52"
"9/6/2017","9:15:00 PM","3000","2643","357","88"
"9/6/2017","9:20:00 PM","3000","2295","705","77"
"9/6/2017","9:25:00 PM","3000","2242","758","75"
"9/6/2017","9:30:00 PM","3000","644","2356","21"
"9/6/2017","9:35:00 PM","3000","1083","1917","36"
"9/6/2017","9:40:00 PM","3000","2595","405","87"
"9/6/2017","9:45:00 PM","3000","1510","1490","50"
"9/6/2017","9:50:00 PM","3000","594","2406","20"
"9/6/2017","9:55:00 PM","3000","1039","1961","35"
"9/6/2017","10:00:00 PM","3000","584","2416","19"
"9/6/2017","10:05:00 PM","3000","734","2266","24"
"9/6/2017","10:10:00 PM","3000","1389","1611","46"
"9/6/2017","10:15:00 PM","3000","2130","870","71"
"9/6/2017","10:20:00 PM","3000","2353","647","78"
"9/6/2017","10:25:00 PM","3000","1447","1553","48"
"9/6/2017","10:30:00 PM","3000","1399","1601","47"
"9/6/2017","10:35:00 PM","3000","1270","1730","42"
"9/6/2017","10:40:00 PM","3000","1009","1991","34"
"9/6/2017","10:45:00 PM","3000","2215","785","74"
"9/6/2017","10:50:00 PM","3000","618","2382","21"
"9/6/2017","10:55:00 PM","3000","1935","1065","65"
"9/6/2017","11:00:00 PM","3000","2456","544","82"
"9/6/2017","11:05:00 PM","3000","2239","761","75"
"9/6/2017","11:10:00 PM","3000","1347","1653","45"
"9/6/2017","11:15:00 PM","3000","2647","353","88"
"9/6/2017","11:20:00 PM","3000","1868","1132","62"
"9/6/2017","11:25:00 PM","3000","711","2289","24"
"9/6/2017","11:30:00 PM","3000","2597","403","87"
"9/6/2017","11:35:00 PM","3000","2238","762","75"
"9/6/2017","11:40:00 PM","3000","512","2488","17"
"9/6/2017","11:45:00 PM","3000","1357","1643","45"
"9/6/2017","11:50:00 PM","3000","617","2383","21"
"9/6/2017","11:55:00 PM","3000","1939","1061","65"
"9/7/2017","12:00:00 AM","3000","904","2096","30"
"9/7/2017","12:05:00 AM","3000","775","2225","26"
"9/7/2017","12:10:00 AM","3000","1226","1774","41"
"9/7/2017","12:15:00 AM","3000","999","2001","33"
"9/7/2017","12:20:00 AM","3000","2586","414","86"
"9/7/2017","12:25:00 AM","3000","573","2427","19"
"9/7/2017","12:30:00 AM","3000","1814","1186","60"
"9/7/2017","12:35:00 AM","3000","2267","733","76"
"9/7/2017","12:40:00 AM","3000","1043","1957","35"
"9/7/2017","12:45:00 AM","3000","2273","727","76"
"9/7/2017","12:50:00 AM","3000","548","2452","18"
"9/7/2017","12:55:00 AM","3000","2044","956","68"
"9/7/2017","1:00:00 AM","3000","2551","449","85"
"9/7/2017","1:05:00 AM","3000","795","2205","27"
"9/7/2017","1:10:00 AM","3000","2023","977","67"
"9/7/2017","1:15:00 AM","3000","2350","650","78"
"9/7/2017","1:20:00 AM","3000","2653","347","88"
"9/7/2017","1:25:00 AM","3000","1130","1870","38"
"9/7/2017","1:30:00 AM","3000","2610","390","87"
"9/7/2017","1:35:00 AM","3000","2065","935","69"
"9/7/2017","1:40:00 AM","3000","1910","1090","64"
"9/7/2017","1:45:00 AM","3000","800","2200","27"
"9/7/2017","1:50:00 AM","3000","781","2219","26"
"9/7/2017","1:55:00 AM","3000","1051","1949","35"
"9/7/2017","2:00:00 AM","3000","1732","1268","58"
"9/7/2017","2:05:00 AM","3000","2479","521","83"
"9/7/2017","2:10:00 AM","3000","1426","1574","48"
"9/7/2017","2:15:00 AM","3000","2291","709","76"
"9/7/2017","2:20:00 AM","3000","2260","740","75"
"9/7/2017","2:25:00 AM","3000","1189","1811","40"
"9/7/2017","2:30:00 AM","3000","1043","1957","35"
"9/7/2017","2:35:00 AM","3000","775","2225","26"
"9/7/2017","2:40:00 AM","3000","2182","818","73"
"9/7/2017","2:45:00 AM","3000","2610","390","87"
"9/7/2017","2:50:00 AM","3000","2038","962","68"
"9/7/2017","2:55:00 AM","3000","858","2142","29"
"9/7/2017","3:00:00 AM","3000","1785","1215","60"
"9/7/2017","3:05:00 AM","3000","2544","456","85"
"9/7/2017","3:10:00 AM","3000","816","2184","27"
"9/7/2017","3:15:00 AM","3000","1092","1908","36"
"9/7/2017","3:20:00 AM","3000","827","2173","28"
"9/7/2017","3:25:00 AM","3000","825","2175","28"
"9/7/2017","3:30:00 AM","3000","1938","1062","65"
"9/7/2017","3:35:00 AM","3000","681","2319","23"
"9/7/2017","3:40:00 AM","3000","1192","1808","40"
"9/7/2017","3:45:00 AM","3000","503","2497","17"
"9/7/2017","3:50:00 AM","3000","2652","348","88"
"9/7/2017","3:55:00 AM","3000","1618","1382","54"
"9/7/2017","4:00:00 AM","3000","1826","1174","61"
"9/7/2017","4:05:00 AM","3000","2187","813","73"
"9/7/2017","4:10:00 AM","3000","2076","924","69"
"9/7/2017","4:15:00 AM","3000","2494","506","83"
"9/7/2017","4:20:00 AM","3000","1475","1525","49"
"9/7/2017","4:25:00 AM","3000","2483","517","83"
"9/7/2017","4:30:00 AM","3000","1598","1402","53"
"9/7/2017","4:35:00 AM","3000","2206","794","74"
"9/7/2017","4:40:00 AM","3000","2096","904","70"
"9/7/2017","4:45:00 AM","3000","1396","1604","47"
"9/7/2017","4:50:00 AM","3000","1845","1155","62"
"9/7/2017","4:55:00 AM","3000","2342","658","78"
"9/7/2017","5:00:00 AM","3000","1236","1764","41"
"9/7/2017","5:05:00 AM","3000","2697","303","90"
"9/7/2017","5:10:00 AM","3000","2045","955","68"
"9/7/2017","5:15:00 AM","3000","2145","855","72"
"9/7/2017","5:20:00 AM","3000","1090","1910","36"
"9/7/2017","5:25:00 AM","3000","912","2088","30"
"9/7/2017","5:30:00 AM","3000","2039","961","68"
"9/7/2017","5:35:00 AM","3000","1992","1008","66"
"9/7/2017","5:40:00 AM","3000","1169","1831","39"
"9/7/2017","5:45:00 AM","3000","815","2185","27"
"9/7/2017","5:50:00 AM","3000","1198","1802","40"
"9/7/2017","5:55:00 AM","3000","1302","1698","43"
"9/7/2017","6:00:00 AM","3000","867","2133","29"
"9/7/2017","6:05:00 AM","3000","695","2305","23"
"9/7/2017","6:10:00 AM","3000","833","2167","28"
"9/7/2017","6:15:00 AM","3000","2058","942","69"
"9/7/2017","6:20:00 AM","3000","1173","1827","39"
"9/7/2017","6:25:00 AM","3000","1379","1621","46"
"9/7/2017","6:30:00 AM","3000","2538","462","85"
"9/7/2017","6:35:00 AM","3000","1130","1870","38"
"9/7/2017","6:40:00 AM","3000","1868","1132","62"
"9/7/2017","6:45:00 AM","3000","2625","375","88"
"9/7/2017","6:50:00 AM","3000","2424","576","81"
"9/7/2017","6:55:00 AM","3000","783","2217","26"
"9/7/2017","7:00:00 AM","3000","964","2036","32"
"9/7/2017","7:05:00 AM","3000","1179","1821","39"
"9/7/2017","7:10:00 AM","3000","720","2280","24"
"9/7/2017","7:15:00 AM","3000","2343","657","78"
"9/7/2017","7:20:00 AM","3000","1127","1873","38"
"9/7/2017","7:25:00 AM","3000","2251","749","75"
"9/7/2017","7:30:00 AM","3000","586","2414","20"
"9/7/2017","7:35:00 AM","3000","1042","1958","35"
"9/7/2017","7:40:00 AM","3000","1750","1250","58"
"9/7/2017","7:45:00 AM","3000","940","2060","31"
"9/7/2017","7:50:00 AM","3000","2669","331","89"
"9/7/2017","7:55:00 AM","3000","2034","966","68"
"9/7/2017","8:00:00 AM","3000","2159","841","72"
"9/7/2017","8:05:00 AM","3000","2317","683","77"
"9/7/2017","8:10:00 AM","3000","2267","733","76"
"9/7/2017","8:15:00 AM","3000","1361","1639","45"
"9/7/2017","8:20:00 AM","3000","2264","736","75"
"9/7/2017","8:25:00 AM","3000","2686","314","90"
"9/7/2017","8:30:00 AM","3000","1774","1226","59"
"9/7/2017","8:35:00 AM","3000","1663","1337","55"
"9/7/2017","8:40:00 AM","3000","1789","1211","60"
"9/7/2017","8:45:00 AM","3000","1138","1862","38"
"9/7/2017","8:50:00 AM","3000","1586","1414","53"
"9/7/2017","8:55:00 AM","3000","2377","623","79"
"9/7/2017","9:00:00 AM","3000","2575","425","86"
"9/7/2017","9:05:00 AM","3000","1439","1561","48"
"9/7/2017","9:10:00 AM","3000","2335","665","78"
"9/7/2017","9:15:00 AM","3000","1931","1069","64"
"9/7/2017","9:20:00 AM","3000","1293","1707","43"
"9/7/2017","9:25:00 AM","3000","2273","727","76"
"9/7/2017","9:30:00 AM","3000","2442","558","81"
"9/7/2017","9:35:00 AM","3000","1042","1958","35"
"9/7/2017","9:40:00 AM","3000","2521","479","84"
"9/7/2017","9:45:00 AM","3000","2588","412","86"
"9/7/2017","9:50:00 AM","3000","2613","387","87"
"9/7/2017","9:55:00 AM","3000","857","2143","29"
"9/7/2017","10:00:00 AM","3000","1807","1193","60"
"9/7/2017","10:05:00 AM","3000","1699","1301","57"
"9/7/2017","10:10:00 AM","3000","811","2189","27"
"9/7/2017","10:15:00 AM","3000","927","2073","31"
"9/7/2017","10:20:00 AM","3000","2405","595","80"
"9/7/2017","10:25:00 AM","3000","1100","1900","37"
"9/7/2017","10:30:00 AM","3000","1378","1622","46"
"9/7/2017","10:35:00 AM","3000","2351","649","78"
"9/7/2017","10:40:00 AM","3000","1859","1141","62"
"9/7/2017","10:45:00 AM","3000","2349","651","78"
"9/7/2017","10:50:00 AM","3000","1642","1358","55"
"9/7/2017","10:55:00 AM","3000","1151","1849","38"
"9/7/2017","11:00:00 AM","3000","2492","508","83"
"9/7/2017","11:05:00 AM","3000","1803","1197","60"
"9/7/2017","11:10:00 AM","3000","1555","1445","52"
"9/7/2017","11:15:00 AM","3000","1263","1737","42"
"9/7/2017","11:20:00 AM","3000","1474","1526","49"
"9/7/2017","11:25:00 AM","3000","2255","745","75"
"9/7/2017","11:30:00 AM","3000","2210","790","74"
"9/7/2017","11:35:00 AM","3000","1126","1874","38"
"9/7/2017","11:40:00 AM","3000","2438","562","81"
"9/7/2017","11:45:00 AM","3000","740","2260","25"
"9/7/2017","11:50:00 AM","3000","1315","1685","44"
"9/7/2017","11:55:00 AM","3000","2634","366","88"
"9/7/2017","12:00:00 PM","3000","2153","847","72"
"9/7/2017","12:05:00 PM","3000","2146","854","72"
"9/7/2017","12:10:00 PM","3000","2171","829","72"
"9/7/2017","12:15:00 PM","3000","2447","553","82"
"9/7/2017","12:20:00 PM","3000","2091","909","70"
"9/7/2017","12:25:00 PM","3000","2138","862","71"
"9/7/2017","12:30:00 PM","3000","836","2164","28"
"9/7/2017","12:35:00 PM","3000","1916","1084","64"
"9/7/2017","12:40:00 PM","3000","2213","787","74"
"9/7/2017","12:45:00 PM","3000","1400","1600","47"
"9/7/2017","12:50:00 PM","3000","2446","554","82"
"9/7/2017","12:55:00 PM","3000","1981","1019","66"
"9/7/2017","1:00:00 PM","3000","600","2400","20"
"9/7/2017","1:05:00 PM","3000","2679","321","89"
"9/7/2017","1:10:00 PM","3000","1281","1719","43"
"9/7/2017","1:15:00 PM","3000","834","2166","28"
"9/7/2017","1:20:00 PM","3000","2483","517","83"
"9/7/2017","1:25:00 PM","3000","2273","727","76"
"9/7/2017","1:30:00 PM","3000","1157","1843","39"
"9/7/2017","1:35:00 PM","3000","2177","823","73"
"9/7/2017","1:40:00 PM","3000","2683","317","89"
"9/7/2017","1:45:00 PM","3000","1162","1838","39"
"9/7/2017","1:50:00 PM","3000","1428","1572","48"
"9/7/2017","1:55:00 PM","3000","2349","651","78"
